company,created_at,favorite_count,retweet_count,reply_to,content,hashtags,retweet,quote
BLUMENBECKER,2016-12-16 08:10:46,0,0,,Blumenbecker #Slovakia erhält #Auszeichnung in der #Slowakei. https://t.co/ZwPMw6gGQn https://t.co/Wf8gKbvxlk,"['slovakia', 'auszeichnung', 'slowakei']",False,False
BLUMENBECKER,2016-12-15 08:57:06,0,0,,Key Supplier Auszeichnung für Blumenbecker China. #Automatisierungstechnik #Schaltanlagen https://t.co/OoHI0Z0zfm https://t.co/ygrNeEbLv6,"['automatisierungstechnik', 'schaltanlagen']",False,False
BLUMENBECKER,2016-12-02 10:55:58,1,1,,#Partnerschaft mit KEBA besiegelt. Experte für #Automatisierungslösungen sowie Steuerungs- und HMI-Systemen… https://t.co/cjvMtSoxhg,"['partnerschaft', 'automatisierungslösungen']",False,False
BLUMENBECKER,2016-11-24 12:38:22,1,0,,#Automatisierungstechnik Großauftrag für #Schaltanlagen in China #Schifffahrt https://t.co/wXlEFlxJVQ,"['automatisierungstechnik', 'schaltanlagen', 'schifffahrt']",False,False
BLUMENBECKER,2016-11-11 12:58:13,0,0,,Neues von Blumenbecker Gruppe: Frei Ausbildungsplätze in Hagen - https://t.co/56MQ9hCrei,,False,False
BLUMENBECKER,2016-11-07 08:45:31,0,0,,Allerheiligenkirmes in Soest: Pferdemarkt 2016 mit @Blumenbecker https://t.co/fhaHT0hZCW,,False,False
BLUMENBECKER,2016-10-26 08:49:39,1,1,,Videodreh in der #Automatisierungstechnik. Thema: Durchgängige Daten im Schaltanlagenbau mit @Rittal https://t.co/fl0E0eii2s,['automatisierungstechnik'],False,False
BLUMENBECKER,2016-10-24 11:21:53,0,0,,BLUMENBECKER AT TAROPAK FAIR 2016: https://t.co/Sl1nIN9dNc über @YouTube,,False,False
BLUMENBECKER,2016-10-21 07:21:33,0,0,,#Industriehandel eröffnet neuen Standort in #München. Rund zehn Mitarbeiter stehen für unsere Kunden zur Verfügung.… https://t.co/Hse9Srreny,"['industriehandel', 'münchen']",False,False
BLUMENBECKER,2016-10-18 12:08:07,0,0,,#Industriehandel übernimmt Redwanz GmbH &amp; Co KG in #Oberhausen. Neue Niederlassung ab 1.11.2016… https://t.co/RKfmAFBZNL,"['industriehandel', 'oberhausen']",False,False
BLUMENBECKER,2016-10-13 09:04:05,0,0,,5 Jahre #Schweißtechnik Zentrum in #Olmütz gefeiert. https://t.co/E8quhlrrpm,"['schweißtechnik', 'olmütz']",False,False
BLUMENBECKER,2016-09-30 16:27:07,0,2,,RT @we_online: Danke @induux_de #FF &amp; ein schönes verlängertes WE @Balluff @BLUMENBECKER @we_online @iefwerner @KIPPWERK @viastore wünscht…,['ff'],False,False
